,t,a,e,inclination,lon_asc_node,arg_peri,true_anom
0,0.0,2.522620579752849,0.9996952535384713,1.303753732324588,1.2364130271971703,3.1051653461552986,3.1169003504363824
1,365250.0,2.722363594993173,0.9997175478762549,1.2877456177262796,1.2078526777306424,3.138673555836544,3.1178210216604785
2,730500.0,2.61330343572796,0.9997059544786253,1.277162628769082,1.1842373919074731,3.118527458909384,3.117337899618726
3,1095750.0,2.472431155440349,0.9996892028239858,1.2754292691278641,1.1706068914684011,3.0972566489908124,3.1166563376931236
4,1461000.0,2.6890214968821,0.9997142452294937,1.2802202528005262,1.1635780456904816,3.1332629849753983,3.1176823988204228
5,1826250.0,2.6867138479409887,0.9997140540649924,1.2930884096040334,1.1655620380351746,3.1296040861055268,3.1176743994489367
6,2191500.0,2.463716196261004,0.9996882069921244,1.3120274921084503,1.1742153164905753,3.0948401857291894,3.1166164057051353
7,2556750.0,2.620053048698167,0.9997069243818684,1.3384809282062573,1.190870938890838,3.124387914268931,3.1173779472531926
8,2922000.0,2.7395901944704972,0.9997196179997335,1.3695748651132738,1.2132017166542546,3.1383285967310734,3.117908322727237
9,3287250.0,2.506085557447261,0.9996936102956301,1.4055821187993498,1.2404525306710048,3.0992080711548375,3.116833842433897
10,3652500.0,2.5346228021560746,0.9996970255826154,1.444970658431164,1.2721135261824879,3.112142721081414,3.116972268782301
11,4017750.0,2.7533840013006667,0.9997211463664003,1.4865261037823423,1.3059620166901935,3.1437282909893565,3.1179729843434547
12,4383000.0,2.587891431827865,0.9997032361334264,1.5300706962760962,1.3429841204869952,3.1088691356904685,3.11722600403973
13,4748250.0,2.4643095732546825,0.9996884250261394,1.574467893360205,1.380775237504053,3.098833178734775,3.11662514224926
14,5113500.0,2.717118129287327,0.9997174781553753,1.6195398108147585,1.4196907321370935,3.1447877865378118,3.1178180847299615
15,5478750.0,2.676357072192619,0.9997130543914162,1.6646162578955883,1.4586862634024877,3.1205218193162443,3.117632611387092
16,5844000.0,2.448049695968469,0.999686346717267,1.7091660613052637,1.4963046614537157,3.08902753090852,3.116541980819787
17,6209250.0,2.64252504272777,0.999709416590427,1.7515431165287827,1.5316329658393777,3.140867779212957,3.1174811588653117
18,6574500.0,2.7340439414647477,0.9997191698116321,1.7941602571650814,1.565942535175867,3.1313561700205725,3.117889393925892
19,6939750.0,2.4906235305506055,0.9996916326051308,1.8324814435705215,1.5961682912009545,3.0859698005490035,3.11675403671407
20,7305000.0,2.5544557825376955,0.9996992291004646,1.8690746472755209,1.623675737881361,3.131825156488878,3.117061995106871
21,7670250.0,2.7456259159150322,0.9997202540288309,1.9010254320767346,1.6478498149184064,3.1400399785611697,3.117935210691366
22,8035500.0,2.5692875094319283,0.9997009276925977,1.928830277526816,1.668902481641072,3.0893298269826874,3.117131385633727
23,8400750.0,2.492338479237371,0.9996916710380491,1.9520590003493241,1.687913005883581,3.1192239072496517,3.11675558597367
24,8766000.0,2.7113670170637327,0.9997165143085212,1.9698082900290943,1.704591211210237,3.146051995837859,3.117777552879732
25,9131250.0,2.642055183476116,0.9997091128700938,1.9837276562130068,1.7199812365822418,3.0965255304950734,3.117468558766691
26,9496500.0,2.4792140626652635,0.99968988705272,1.9919522142360118,1.7339853767849003,3.1060073026873325,3.1166838122770852
27,9861750.0,2.6542963574359733,0.9997102818893929,1.9966810913666113,1.7466451821161744,3.14897518823037,3.1175170999590587
28,10227000.0,2.6864015391815927,0.9997137685474254,1.9959104859488064,1.7578890530855817,3.1054621387465016,3.1176624590110062
29,10592250.0,2.5038161849046223,0.9996928171472189,1.99146023831805,1.7680511842080386,3.095136255089775,3.1168018085991283
30,10957500.0,2.596690474120163,0.99970375969259,1.981698793227444,1.7762809578410896,3.148135431868063,3.11724751846937
31,11322750.0,2.697907256248484,0.9997146920396418,1.967979900241459,1.7824516500154064,3.1154504901206366,3.11770110844868
32,11688000.0,2.5457402961811275,0.9996977243654661,1.9492644650592885,1.7861272461414077,3.088312776814411,3.1170006909057024
33,12053250.0,2.558929475149769,0.9996992513279489,1.9264279485282554,1.7865737560366763,3.142880634413937,3.1170629051402536
34,12418500.0,2.688194306083408,0.9997136418855104,1.8990139254824259,1.7833322283632318,3.1258206152053756,3.117657164630647
35,12783750.0,2.5820046730744624,0.9997018616701566,1.8677880433606409,1.7756155264064444,3.086057146865251,3.117169627027175
36,13149000.0,2.539290240264811,0.9996968222001759,1.833534416972856,1.7633092298363509,3.133432467158887,3.1169640080380008
37,13514250.0,2.672323399953436,0.9997119305686867,1.795705724234122,1.74544810971917,3.1353615170654465,3.1175857259274493
38,13879500.0,2.61007172143055,0.9997049794110381,1.7561964312554086,1.722673550517795,3.088632737769139,3.1172977074684614
39,14244750.0,2.5303884090622866,0.9996957218406006,1.7138546595263526,1.6939577962724401,3.1214981271774973,3.1169193393344745
40,14610000.0,2.6546171973348116,0.9997099938919037,1.6698680610405723,1.659956062947976,3.141983430661985,3.1175051348559375
41,14975250.0,2.631843303716562,0.9997074560335949,1.6241532636696985,1.620455659706547,3.0959423060277036,3.1173999325468893
42,15340500.0,2.5241172038302113,0.9996949005570158,1.578202819054778,1.576838415876932,3.109449503969398,3.1168860519548227
43,15705750.0,2.6383902727136164,0.9997081851028837,1.5318752202797188,1.5292723713261076,3.143816238342104,3.1174301077899056
44,16071000.0,2.6578343050006428,0.99971041247567,1.4871795222162782,1.4801100548714934,3.1066569421939283,3.1175225302548983
45,16436250.0,2.5197561887421136,0.99969455548727,1.443150497446938,1.4287551573299,3.100062258472251,3.11687207908615
